,_strategy,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN
1,"BBandRSI(upper_bound=65,lower_bound=40,rsi_window=10)_optimize",2020-01-07,2022-09-16,983 days,47.42424242424242,14774253.039249998,14774253.039249998,47.74253039249998,43.05863389079186,16.070082837575427,19.447063597880696,0.8263500942798744,1.3749004554029378,0.5343819681623855,-30.072277500000013,-3.0666870474138967,252 days,21 days,14,92.85714285714286,8.272342062232374,-7.942862318701915,2.828488629952708,91 days,33 days,6.09482281915745,2.890534013624884,3.3273642005226853
14,"EntryRSIandExitSMA_WithShortPosition(SMA_short=20,SMA_long=50,upper_bound=80,lower_bound=40,rsi_window=14)_optimize",2020-01-07,2022-09-16,983 days,33.33333333333333,14372029.844499996,14891529.844499996,43.72029844499996,43.05863389079186,14.8532472444187,14.941294766092689,0.9941071022925134,1.8112186301345654,1.4994140383816401,-9.90603453363037,-2.8998230373710383,257 days,35 days,10,70.0,9.939669603206047,-0.9770549636974879,3.6950953850030333,83 days,32 days,14.79746031261953,3.766841858472446,2.972811381404668
0,BBandRSI,2020-01-07,2022-09-16,983 days,41.66666666666667,11782542.024,12087677.480500001,17.825420240000003,43.05863389079186,6.463403147139735,17.56810614952591,0.367905515377032,0.5511099343537044,0.21492895398892659,-30.072277500000013,-4.257960710005258,259 days,51 days,7,71.42857142857143,11.159604517225219,-6.6160964762885355,2.3730766888041765,92 days,58 days,3.1988029763186114,2.4991378373962796,1.254558717382956
6,"EntryRSI50andExitBB(MACDshort=20,MACDlong=40,MACDsignal=10,upper_bound=70,lower_bound=40,rsi_window=22)_optimize",2020-01-07,2022-09-16,983 days,43.03030303030303,11095325.355500001,12300438.2415,10.953253555000014,43.05863389079186,4.048371838649278,13.102964285623559,0.3089661049516186,0.5121401528180052,0.21235508174659046,-19.064162747375736,-4.297390477289744,830 days,110 days,14,50.0,17.13520001537958,-4.7900676186318325,0.7456439755554767,77 days,29 days,1.7002469328558956,0.8721548749209345,0.5267263024062956
8,"MACDandRSI_WithShortPosition(MACDshort=15,MACDlong=40,MACDsignal=10,upper_bound=70,lower_bound=40,rsi_window=22)_optimize",2020-01-07,2022-09-16,983 days,46.515151515151516,10383032.475499999,12206027.5475,3.830324754999988,43.05863389079186,1.44552197420309,13.155460256771919,0.10988000009038008,0.17232538706867723,0.07608642705024016,-18.998421009421385,-4.233027185864545,830 days,98 days,14,42.857142857142854,17.25398766551429,-7.064697661940422,0.31012167801409696,76 days,31 days,1.2640718174130896,0.471614775190777,0.18798732433083598
4,EntryRSI50andExitBB_WithShortPosition,2020-01-07,2022-09-16,983 days,54.54545454545454,10106155.890499996,12236442.688499998,1.06155890499996,43.05863389079186,0.4040001168003515,13.072827168125537,0.03090380616255631,0.04408512860919441,0.01974032921144073,-20.465723366265276,-2.812610450605459,494 days,39 days,22,54.54545454545454,8.392030875736545,-6.926850744391144,0.048039195676485846,62 days,23 days,1.0776585977023019,0.13725287680424117,0.047868197886123114
10,"MACDandBBD(MACDshort=20,MACDlong=70,MACDsignal=10)_optimize",2020-01-07,2022-09-16,983 days,34.090909090909086,10062473.262000002,11337796.5775,0.6247326200000197,43.05863389079186,0.2380752112045581,10.076141820351706,0.023627616150032327,0.033290327249050615,0.019478461806726473,-12.222485202724986,-3.4470746346861354,599 days,84 days,10,50.0,8.968801155591311,-3.356333444870918,0.06213535590282593,104 days,32 days,1.105317768366137,0.11576899597553701,0.055161142784330985
3,"BBandRSI_WithShortPosition(upper_bound=65,lower_bound=30,rsi_window=10)_optimize",2020-01-07,2022-09-16,983 days,72.12121212121212,9453582.823249998,13449224.578000002,-5.464171767500024,43.05863389079186,-2.122633742711899,15.972924825505054,0.0,0.0,0.0,-37.79743049510408,-13.861213585046418,907 days,307 days,42,23.809523809523807,13.75003699329761,-4.174198869771217,-0.13396069356647056,97 days,16 days,0.9296203248520571,-0.0809075136084887,-0.2505278060595914
12,"MACDandBBD_WithShortPosition(MACDshort=15,MACDlong=20,MACDsignal=10)_optimize",2020-01-07,2022-09-16,983 days,55.00000000000001,8761373.467999997,13147102.2475,-12.386265320000033,43.05863389079186,-4.923536485813596,13.749554370467413,0.0,0.0,0.0,-38.20165755883615,-20.881608005685425,907 days,457 days,18,33.33333333333333,7.502335566026963,-9.89622856982615,-0.732754795416557,111 days,29 days,0.6047475515074737,-0.6682487303739018,-0.8435768692686848
9,MACDandBBD,2020-01-07,2022-09-16,983 days,23.484848484848484,8666014.535499996,10472527.0525,-13.339854645000043,43.05863389079186,-5.319984276337353,6.459731097477574,0.0,0.0,0.0,-19.442309595313457,-11.054319535156726,830 days,418 days,14,28.57142857142857,2.2141544665288393,-3.356333444870918,-1.0183965636671566,35 days,15 days,0.29753601890681525,-1.0036292906574587,-2.220225556608003
