,_strategy,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN
20,RsiOscillator_Entry50,2020-01-07,2022-09-20,987 days,63.993948562783665,1516974.166,1598876.5725000002,51.697416600000004,62.75083190480992,17.218516780166325,17.031443006821423,1.0109840236831358,1.7462199677962387,0.976572691022741,-17.631577186674953,-2.4436394939014883,259 days,21 days,17,52.94117647058824,18.98144756248932,-6.937171070316039,2.492685650823123,102 days,36 days,2.502286014582317,2.747797061583383,1.3413456770824368
7,"EmaCrossStrategy_WithShortPosition(EMAshort=10,EMAlong=15)_optimize",2020-01-07,2022-09-20,987 days,74.28139183055976,1487478.2277499996,1680044.8784999999,48.74782277499996,62.75083190480992,16.344315119205977,19.029271710588972,0.8589038701944156,1.4993829982777618,1.1860034308593996,-13.781001550191629,-2.113469282490003,299 days,21 days,13,53.84615384615385,30.754633721954818,-7.2345167229182605,3.116915874132764,311 days,56 days,3.088162166145257,3.511935806075376,1.1391767783507283
13,"BBsigma(n=10,nu=2.0,nd=2.0)_optimize",2020-01-07,2022-09-20,987 days,69.7428139183056,1408198.338,1497384.0367500002,40.8198338,62.75083190480992,13.94012157858966,22.400727120540846,0.6223066556534655,0.9991057298949297,0.45945303170565877,-30.34068907291524,-2.9688004938284225,259 days,23 days,10,70.0,18.435964199435027,-3.2843536717696242,3.4910073442265155,137 days,68 days,5.133184691193303,3.6573436682053595,1.786617593179202
12,BBsigma,2020-01-07,2022-09-20,987 days,36.61119515885023,1344213.8745000002,1355688.8745000002,34.42138745000001,62.75083190480992,11.937950945492881,19.562632542153054,0.6102425591120875,0.973418002492969,0.39543950790921456,-30.1890699,-4.524049255983226,269 days,46 days,7,85.71428571428571,12.327414879170195,-10.064419599934226,4.320034402620854,84 days,51 days,4.16844733489627,4.555511922669913,1.7344179438965304
21,RsiOscillator_Entry50_WithShortPosition,2020-01-07,2022-09-20,987 days,50.22692889561271,1338809.3662499997,1401129.3662499997,33.880936624999975,62.75083190480992,11.766158012636495,15.732097979521786,0.7479077506351861,1.2933945493715102,0.8355007570907147,-14.082761640584584,-3.4865751475850972,312 days,46 days,29,48.275862068965516,18.98144756248932,-6.937171070316039,1.0166951240989874,102 days,16 days,1.8694282683607442,1.1642162160051301,0.9370400073368996
11,"SmaCross_WithShortPosition(SMA_short=10,SMA_long=15)_optimize",2020-01-07,2022-09-20,987 days,73.97881996974282,1288992.1115,1601146.172,28.89921115000001,62.75083190480992,10.162014462160162,19.155498404682497,0.5305011776501776,0.8798290512444699,0.433521462812871,-23.44062597552773,-3.2978376276149737,299 days,32 days,26,69.23076923076923,12.649930016230982,-11.30513100453172,0.9824705711308335,64 days,27 days,1.781036084947451,1.103892529734609,0.877371577651721
6,EmaCrossStrategy_WithShortPosition,2020-01-07,2022-09-20,987 days,72.91981845688352,1274669.5814999996,1409988.0555,27.466958149999964,62.75083190480992,9.693740717622724,17.493383276998273,0.5541375595633833,0.8844994279739998,0.6648209116965313,-14.580980452142567,-2.8167411015292676,163 days,29 days,30,50.0,7.958851729426186,-6.281262317663416,0.8135518031825661,66 days,23 days,1.9370395972898082,0.8728768788173388,1.1611362855048803
23,"DnchnBreakout(dnchn_long=15,dnchn_short=10)_optimize",2020-01-07,2022-09-20,987 days,61.72465960665659,1251812.1529999995,1439737.2562499996,25.18121529999995,62.75083190480992,8.939626966609126,15.890736979869857,0.5625684307740861,0.8774203365837571,0.6515164400859063,-13.721260764241627,-2.424040863591642,189 days,28 days,18,72.22222222222221,13.5175107046833,-6.752654174045059,1.2626651662981825,69 days,33 days,2.096612131448426,1.3787009510896002,1.070201004174882
3,"MACDCross_WithShortPosition(MACDshort=15,MACDlong=40,MACDsignal=10)_optimize",2020-01-07,2022-09-20,987 days,53.70650529500757,1235554.1900000002,1360711.5802500003,23.555419000000015,62.75083190480992,8.39804305908749,15.677507275632383,0.5356746395608825,0.8579412933183683,0.6399824930618864,-13.122301235004874,-3.42943813202978,424 days,50 days,22,45.45454545454545,18.508858537175655,-5.7080834530018105,0.9666358296591904,76 days,23 days,1.803769853980914,1.1221769511441981,0.752161266376111
1,"MACDCross(MACDshort=15,MACDlong=40,MACDsignal=10)_optimize",2020-01-07,2022-09-20,987 days,53.70650529500757,1235554.1900000002,1360711.5802500003,23.555419000000015,62.75083190480992,8.39804305908749,15.677507275632383,0.5356746395608825,0.8579412933183683,0.6399824930618864,-13.122301235004874,-3.42943813202978,424 days,50 days,22,45.45454545454545,18.508858537175655,-5.7080834530018105,0.9666358296591904,76 days,23 days,1.803769853980914,1.1221769511441981,0.752161266376111
25,"DnchnBreakout_WithShortPosition(dnchn_long=15,dnchn_short=10)_optimize",2020-01-07,2022-09-20,987 days,74.28139183055976,1233185.3779999998,1481128.0189999999,23.31853779999998,62.75083190480992,8.318766076925765,20.514718702395665,0.4055023223864297,0.6722877093425639,0.3074793459589272,-27.054715011775066,-4.032272808404609,747 days,55 days,30,63.33333333333333,13.5175107046833,-12.314648717696564,0.7044290224707206,69 days,24 days,1.5434870758072887,0.8550945008203019,0.6427086129496069
8,SmaCross,2020-01-07,2022-09-20,987 days,68.53252647503783,1231016.0094999995,1413338.1554999996,23.101600949999945,62.75083190480992,8.246081164315866,16.804672661368866,0.4907016834235771,0.7613684946616505,0.4024076499438181,-20.491859847761685,-2.7200015997653875,299 days,27 days,11,54.54545454545454,20.417756987703495,-7.845950051210981,1.909634138466343,190 days,61 days,1.9266454037395244,2.240368153731927,0.7093290366646665
5,"EmaCrossStrategy(EMAshort=10,EMAlong=15)_optimize",2020-01-07,2022-09-20,987 days,73.5249621785174,1211682.9910000004,1369393.1730000002,21.168299100000038,62.75083190480992,7.594797412374366,17.539029461003725,0.43302267262054817,0.6557009640703296,0.5325228642236135,-14.26191798064319,-2.4243958250367745,299 days,27 days,13,46.15384615384615,30.754633721954818,-11.569983576538757,1.4933932943405948,311 days,55 days,1.7595067903941113,1.953322127641728,0.5655976785205649
16,RsiOscillator,2020-01-07,2022-09-20,987 days,15.582450832072617,1194792.3035000002,1194792.3035000002,19.479230350000016,62.75083190480992,7.020506711354679,14.816098060671603,0.4738431591506654,0.7364136319976887,0.2638217402245515,-26.61079676519147,-9.68850877661082,90 days,35 days,2,100.0,10.643280852184155,8.141489216232145,9.385232838464152,96 days,77 days,,9.39238503420815,5.839264200258476
2,MACDCross_WithShortPosition,2020-01-07,2022-09-20,987 days,54.311649016641454,1193535.8092500004,1287505.4235000005,19.353580925000042,62.75083190480992,6.977585148082954,14.792564307921571,0.47169544122558826,0.7399413696241245,0.5055191848473768,-13.80280977899896,-4.0094485489620935,511 days,80 days,26,46.15384615384615,12.169695738741048,-6.06898536806566,0.6809639218905428,58 days,19 days,1.664571407125864,0.778017691885478,0.7370161032565848
0,MACDCross,2020-01-07,2022-09-20,987 days,54.311649016641454,1193535.8092500004,1287505.4235000005,19.353580925000042,62.75083190480992,6.977585148082954,14.792564307921571,0.47169544122558826,0.7399413696241245,0.5055191848473768,-13.80280977899896,-4.0094485489620935,511 days,80 days,26,46.15384615384615,12.169695738741048,-6.06898536806566,0.6809639218905428,58 days,19 days,1.664571407125864,0.778017691885478,0.7370161032565848
